license_id,brand_name,drug_ingredient,drugbank_id,potential_indication,source
467,Atonide-H Cream,HYDROCORTISONE,DB00741,localized pagetoid reticulosis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,familial glucocorticoid deficiency,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,Crohn disease,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,hereditary angioedema,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,tinea infection,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,dermatitis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,Addison disease,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,primary cutaneous T-cell non-Hodgkin lymphoma,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,ankylosing spondylitis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,bursitis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,keratitis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,atopic eczema,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,non-Hodgkin lymphoma,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,heparin-induced thrombocytopenia (disease),TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,X-linked adrenal hypoplasia congenita,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,"spondyloarthropathy, susceptibility to",TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,folliculotropic mycosis fungoides,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,intrinsic asthma,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,adrenal insufficiency,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,acute lymphoblastic leukemia (disease),TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,lymphoma,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,adrenocortical insufficiency,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,humoral hypercalcemia of malignancy,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,pediatric systemic lupus erythematosus,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,eosinophilic pneumonia,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,classic Hodgkin lymphoma,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,non-histaminic angioedema,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,eye disease,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,"dermatitis, atopic",TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,chronic primary adrenal insufficiency,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,Crohn's colitis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,Trichinella spiralis infectious disease,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,gout,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,canker sore,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,aphthous stomatitis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,aspiration pneumonia (disease),TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,sarcoidosis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,renin-angiotensin-aldosterone system-blocker-induced angioedema,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,hemorrhoid,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,papillary conjunctivitis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,Langerhans cell histiocytosis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,keratoconjunctivitis,TxGNN Knowledge Graph
